id,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,age
0,1,4,4.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1,16
1,2,3,4.0,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,2,18
2,3,3,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,5.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2,17
3,4,4,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2,17
4,5,4,5.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,1,17
5,6,3,1.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,2,21
6,7,3,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1,18
7,8,4,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1,19
8,9,3,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,1,19
9,10,4,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2,17
10,11,3,4.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,1,21
11,12,5,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1,16
12,13,4,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2,16
